cell_id,group_id,table,dataset,model,imr,metric,statistic,reported_value,recomputed_value,rounded_recomputed,matches_2dp,run_ids
T3-G27-acc-mean,G27,3,CMU-MOSEI,MMGCN+AMBER,"(0.5,0.3,0.7)",Acc,mean,85.01,85.00825536598789,85.01,True,G27-seed1;G27-seed2;G27-seed3;G27-seed4;G27-seed5
T3-G27-acc-std,G27,3,CMU-MOSEI,MMGCN+AMBER,"(0.5,0.3,0.7)",Acc,std,0.21,0.20902728689964847,0.21,True,G27-seed1;G27-seed2;G27-seed3;G27-seed4;G27-seed5
T3-G27-wf1-mean,G27,3,CMU-MOSEI,MMGCN+AMBER,"(0.5,0.3,0.7)",w-F1,mean,84.87,84.87298520360089,84.87,True,G27-seed1;G27-seed2;G27-seed3;G27-seed4;G27-seed5
T3-G27-wf1-std,G27,3,CMU-MOSEI,MMGCN+AMBER,"(0.5,0.3,0.7)",w-F1,std,0.19,0.1903289230937576,0.19,True,G27-seed1;G27-seed2;G27-seed3;G27-seed4;G27-seed5
T3-G28-acc-mean,G28,3,CMU-MOSEI,MMGCN+AMBER,"(0.5,0.7,0.3)",Acc,mean,80.2,80.20363236103468,80.2,True,G28-seed1;G28-seed2;G28-seed3;G28-seed4;G28-seed5
T3-G28-acc-std,G28,3,CMU-MOSEI,MMGCN+AMBER,"(0.5,0.7,0.3)",Acc,std,0.55,0.5522806253957995,0.55,True,G28-seed1;G28-seed2;G28-seed3;G28-seed4;G28-seed5
T3-G28-wf1-mean,G28,3,CMU-MOSEI,MMGCN+AMBER,"(0.5,0.7,0.3)",w-F1,mean,79.95,79.95325843812326,79.95,True,G28-seed1;G28-seed2;G28-seed3;G28-seed4;G28-seed5
T3-G28-wf1-std,G28,3,CMU-MOSEI,MMGCN+AMBER,"(0.5,0.7,0.3)",w-F1,std,0.49,0.49388147361707846,0.49,True,G28-seed1;G28-seed2;G28-seed3;G28-seed4;G28-seed5
T3-G29-acc-mean,G29,3,CMU-MOSEI,MMGCN+AMBER,"(0.7,0.3,0.5)",Acc,mean,84.87,84.8651623555311,84.87,True,G29-seed1;G29-seed2;G29-seed3;G29-seed4;G29-seed5
T3-G29-acc-std,G29,3,CMU-MOSEI,MMGCN+AMBER,"(0.7,0.3,0.5)",Acc,std,0.15,0.15444375564559326,0.15,True,G29-seed1;G29-seed2;G29-seed3;G29-seed4;G29-seed5
T3-G29-wf1-mean,G29,3,CMU-MOSEI,MMGCN+AMBER,"(0.7,0.3,0.5)",w-F1,mean,84.74,84.74277691033684,84.74,True,G29-seed1;G29-seed2;G29-seed3;G29-seed4;G29-seed5
T3-G29-wf1-std,G29,3,CMU-MOSEI,MMGCN+AMBER,"(0.7,0.3,0.5)",w-F1,std,0.15,0.14796905606016816,0.15,True,G29-seed1;G29-seed2;G29-seed3;G29-seed4;G29-seed5
T3-G30-acc-mean,G30,3,CMU-MOSEI,MMGCN+AMBER,"(0.7,0.5,0.3)",Acc,mean,82.98,82.97743533296644,82.98,True,G30-seed1;G30-seed2;G30-seed3;G30-seed4;G30-seed5
T3-G30-acc-std,G30,3,CMU-MOSEI,MMGCN+AMBER,"(0.7,0.5,0.3)",Acc,std,0.31,0.3067966699431734,0.31,True,G30-seed1;G30-seed2;G30-seed3;G30-seed4;G30-seed5
T3-G30-wf1-mean,G30,3,CMU-MOSEI,MMGCN+AMBER,"(0.7,0.5,0.3)",w-F1,mean,82.8,82.80309792135971,82.8,True,G30-seed1;G30-seed2;G30-seed3;G30-seed4;G30-seed5
T3-G30-wf1-std,G30,3,CMU-MOSEI,MMGCN+AMBER,"(0.7,0.5,0.3)",w-F1,std,0.24,0.2383366788541802,0.24,True,G30-seed1;G30-seed2;G30-seed3;G30-seed4;G30-seed5
T3-G31-acc-mean,G31,3,CMU-MOSEI,MM-DFN+AMBER,"(0.3,0.5,0.7)",Acc,mean,82.75,82.7517886626307,82.75,True,G31-seed1;G31-seed2;G31-seed3;G31-seed4;G31-seed5
